run_id,repo,method,dataset,metric,value,n_samples,source
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,MMLU-STEM-test::cot,accuracy,0.5646123260437376,3018,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,OCWCourses::cot,accuracy,0.15441176470588236,272,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,agieval-gaokao-mathcloze-cot-test::cot,accuracy,0.2033898305084746,118,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,agieval-gaokao-mathqa-cot-test::cot,accuracy,0.35327635327635326,351,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,cmath-cot-test::cot,accuracy,0.7167577413479053,1098,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,cmath::cot,accuracy,0.8460837887067395,1098,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,cmath::cot,accuracy,0.8879781420765027,1098,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,cmath::tool,accuracy,0.843351548269581,1098,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,cmath::tool,accuracy,0.8761384335154827,1098,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,gsm8k-cot-test::cot,accuracy,0.6421531463229719,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,gsm8k-pal-test::tool,accuracy,0.66868840030326,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
